n 	 tiempoMedio 	 ContadorExterno 	 ContadorMedio 	 ContadorInterno

 5000 	 6.084300e-02 	 4999 	 0  	 5085184
 10000 	 1.808090e-01 	 9999 	 0  	 11737101
 15000 	 4.255070e-01 	 14999 	 0  	 20711773
 20000 	 7.070740e-01 	 19999 	 0  	 22222462
 25000 	 1.821941e+00 	 24999 	 0  	 89847918
 30000 	 6.515663e+00 	 29999 	 0  	 1003684
 35000 	 6.892556e+00 	 34999 	 0  	 3971863
 40000 	 6.875137e+00 	 39999 	 0  	 347109471
 45000 	 1.401149e+01 	 44999 	 0  	 17329010
 50000 	 1.000717e+01 	 49999 	 0  	 197043622
