n 	 tiempoMedio 	 ContadorExterno 	 ContadorMedio 	 ContadorInterno

 5000 	 5.063400e-02 	 4999 	 0  	 5085184
 10000 	 1.675010e-01 	 9999 	 0  	 11737101
 15000 	 4.022200e-01 	 14999 	 0  	 20711773
 20000 	 7.020740e-01 	 19999 	 0  	 22222462
 25000 	 1.468260e+00 	 24999 	 0  	 89847918
 30000 	 3.977406e+00 	 29999 	 0  	 1003684
 35000 	 4.953665e+00 	 34999 	 0  	 3971863
 40000 	 4.570784e+00 	 39999 	 0  	 347109471
 45000 	 1.043722e+01 	 44999 	 0  	 17329010
 50000 	 7.138717e+00 	 49999 	 0  	 197043622
